product_1_id,product_1_name,product_2_id,product_2_name,similarity,name_similarity,brand_similarity,size_similarity
PRDe42b3890,Faith in Nature - Shampoo Bar Lavender & Geranium,PRDc40d85f0,Faith In Nature Shampoo Bar Lavender & Geranium 85gm,100.0,100.0,100.0,100
PRD64e43e15,"Nature Triangle Shampoo Bar - Natural Usman Grass Glutinous Rice Water Solid Shampoo Bar For Hair Care & Hair Growth, Calming & Strengthens Hairs For",PRD89df39f4,"Nature Triangle Shampoo Bar, Natural Grass Glutinous Rice Water Solid Shampoo Bar for Hair Care & Hair Growth, Calming & Strengthens Hair, Gentle on",91.9,94.32624113475178,100.0,50
PRDbb642fb8,Shampoo Bar – Calendula – Fine Hair - Full Size,PRD94df6e4e,Shampoo Bar,95.0,100.0,100.0,50
PRDf41382a6,Shampoo Bar - Lime & Coconut - All Hair Types - Full Size,PRD94df6e4e,Shampoo Bar,95.0,100.0,100.0,50
PRD89df39f4,"Nature Triangle Shampoo Bar, Natural Grass Glutinous Rice Water Solid Shampoo Bar for Hair Care & Hair Growth, Calming & Strengthens Hair, Gentle on",PRD64e43e15,"Nature Triangle Shampoo Bar - Natural Usman Grass Glutinous Rice Water Solid Shampoo Bar For Hair Care & Hair Growth, Calming & Strengthens Hairs For",91.9,94.32624113475178,100.0,50
PRDc40d85f0,Faith In Nature Shampoo Bar Lavender & Geranium 85gm,PRDe42b3890,Faith in Nature - Shampoo Bar Lavender & Geranium,100.0,100.0,100.0,100
PRDc561cff4,Shampoo Bar with Rosemary – Solid Shampoo and Conditioner Bar for Men & Women – Deep Cleansing Hair Soap with Coconut Oil Extracts for Scalp Care,PRD94df6e4e,Shampoo Bar,95.0,100.0,100.0,50
PRDf2daad50,"2025 Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Shampoo Bar, Calming & Strengthens Hair for Women and Men",PRDd8d93ae9,"1-3x Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Shampoo Bar, Calming & Strengthens Hair for Women and Men",99.2,98.54014598540147,100.0,100
PRDd8d93ae9,"1-3x Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Shampoo Bar, Calming & Strengthens Hair for Women and Men",PRDf2daad50,"2025 Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Shampoo Bar, Calming & Strengthens Hair for Women and Men",99.2,98.54014598540147,100.0,100
PRD63cbaf21,"Shampoo Bar Castor Oil,Castor Oil Conditioner Bar,Solid Bars Shampoo for Hydration,Strengthening,Nourishing Bars Soap for Hair Growth,Organic Castor",PRD94df6e4e,Shampoo Bar,95.0,100.0,100.0,50
PRDef469070,"Cacumen Biotae Isatis Indicotica Shampoo Bar, Usman Shampoo Bar Grass",PRDda45072e,"Cacumen Biotae Isatis Indicotica Shampoo Bar, Usman Shampoo Grass Bar",93.3,96.96969696969697,100.0,50
PRD94df6e4e,Shampoo Bar,PRDbb642fb8,Shampoo Bar – Calendula – Fine Hair - Full Size,95.0,100.0,100.0,50
PRD94df6e4e,Shampoo Bar,PRDf41382a6,Shampoo Bar - Lime & Coconut - All Hair Types - Full Size,95.0,100.0,100.0,50
PRD94df6e4e,Shampoo Bar,PRDc561cff4,Shampoo Bar with Rosemary – Solid Shampoo and Conditioner Bar for Men & Women – Deep Cleansing Hair Soap with Coconut Oil Extracts for Scalp Care,95.0,100.0,100.0,50
PRD94df6e4e,Shampoo Bar,PRD63cbaf21,"Shampoo Bar Castor Oil,Castor Oil Conditioner Bar,Solid Bars Shampoo for Hydration,Strengthening,Nourishing Bars Soap for Hair Growth,Organic Castor",95.0,100.0,100.0,50
PRD94df6e4e,Shampoo Bar,PRD07b36331,Shampoo Bar Cantankerous Curls,95.0,100.0,100.0,50
PRD07b36331,Shampoo Bar Cantankerous Curls,PRD94df6e4e,Shampoo Bar,95.0,100.0,100.0,50
